id,customer_id,amount,currency,status,failure_reason,event_type,days_overdue,created_at
96f9398e-b4e9-47d1-abd0-eb1f34fc5929,fed2b824-f829-4392-bb41-23ed2520a402,1330.27,INR,success,,payment_success,0,2026-08-22T02:18:51.175565+00:00
d172b4f5-3366-4e94-99db-c817ae93313c,8b867374-f152-49e1-843f-21c535b69d0c,2222.11,INR,success,,payment_success,0,2026-06-23T10:59:51.175565+00:00
ab5128f5-9e6a-4baf-a35a-b28e6b1a8c1b,715a9a18-5541-49d7-800e-05a6d7a4e97b,1619.2,INR,failed,expired_card,subscription_failed,21,2026-05-31T21:14:51.175565+00:00
e36e9bbe-4698-4c24-a2c7-b69b8bd82d19,177869cd-f5ca-45a8-ae7f-3aa061719e6d,1637.58,INR,success,,payment_success,0,2026-08-02T10:31:51.175565+00:00
a13cbadf-d280-4658-8da7-73b1e42e9f73,668f7324-bf69-4f43-b1a2-1a00a745244a,2438.67,INR,success,,payment_success,0,2026-08-04T04:18:51.175565+00:00
488d96af-8ad7-4ebb-8fe0-12ff62bd6329,38c65296-302b-4828-9a00-0129c787aef6,22523.09,INR,overdue,payment_overdue,invoice_overdue,10,2026-07-22T05:14:51.175565+00:00
56942a96-3ff5-41a5-8a52-b25326617245,5a390533-58cc-435c-bc07-a01f914e28f2,2445.96,INR,success,,payment_success,0,2026-07-09T06:05:51.175565+00:00
7d08d09d-f344-41fb-8eec-d6fd83e43676,6702d27d-85e4-487d-99f7-9e071473f1ee,8294.45,INR,overdue,payment_overdue,invoice_overdue,6,2026-05-25T15:00:51.175565+00:00
d202e4b0-e563-4e80-91c7-493a0ef4eaae,72523891-0aac-4f6e-af5b-2aca8a200091,1872.96,INR,success,,payment_success,0,2026-06-20T01:52:51.175565+00:00
f474a0f8-b39a-4847-a3e9-caa4dea2e7b1,29e945d4-4882-47c2-92e9-377c11509b04,5703.52,INR,success,,payment_success,0,2026-07-31T17:21:51.175565+00:00
e065721c-f6b0-4a47-a7eb-70c99d290ff1,5c774722-4530-4271-bb17-5030b07834d4,2491.8,INR,success,,payment_success,0,2026-06-10T09:14:51.175565+00:00
a06923b2-e58d-4366-aeae-ff39f9cc523e,b16b86ba-7625-4fab-9855-853f30dc855b,4706.53,INR,overdue,payment_overdue,invoice_overdue,27,2026-08-21T14:33:51.175565+00:00
6ee0ac51-f160-47c9-8cd9-e46d8b7c312b,659c7cad-dd93-4d2c-97f2-a75331461f92,1362.36,INR,failed,insufficient_funds,payment_failed,10,2026-07-04T17:40:51.175565+00:00
